statement,MR2,MR1,MR3
I perform better when I interact with colleagues in person on site.,0.02217936994127067,0.644494366283174,0.05222713550064073
Working from home makes me less disciplined/self-controlled.,0.06476567998634955,0.7852443052295885,-0.0486409831248433
Working from home helps me spend more meaningful time with other members in my household.,0.6247231645953888,0.15887846295766828,0.004203471451486598
I experience substantial gains in efficiency when working from home.,0.6133473753605772,-0.2579513401831788,0.17124896106205478
Working from home helps me save large costs on commuting and parking.,0.5922888701548107,0.022811907176024243,0.02302120594874152
I am satisfied with the online shopping and delivery options available to me.,0.21414492726795104,0.08313532808774177,-0.4791759651799376
The quality of interaction during online meetings is disappointing.,0.008322337305256798,0.4838233983682833,0.10438046270387005
"Working from home is not practical for me (e.g., due to lack of office devices, distractions from family members).",-0.20466463176510197,0.530008664672935,0.009685498700936213
I can efficiently replace some of my business trips with virtual meetings.,0.4271945686711713,-0.023903666548901855,-0.16705893841015873
Videoconferencing enables me to better maintain meaningful contact with friends and family outside of my household.,0.42846840683615295,0.08967128362698651,-0.11295298211531825
I enjoy not always/everyday having to physically commute to work.,0.5020038803588638,-0.1230006351067815,-0.03001196376364315
I prefer to shop in a store rather than online.,0.104977661064534,0.22363553430924338,0.5230483957610301
