"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_2",-1.18663512017856,0.792014267246231,-1.49824967712311,0.82697392723488,-1.43491237280753
"asc_3",-2.48733248482137,0.559500581171002,-4.44562985013443,0.52012243667048,-4.78220570668671
"asc_4",-2.495798059446,0.641042687765306,-3.89334143744222,0.614952406956099,-4.05852230386371
"asc_5",-2.5951109144963,0.847870404283057,-3.06074006285274,0.991772278243923,-2.61663989952544
"asc_6",-3.47519913234436,1.06153537861784,-3.27374782069835,1.25249620747931,-2.77461848713963
"b_2_age_18_34",-0.173139848914521,0.356899240640694,-0.485122491725411,0.368682339538318,-0.469617961986828
"b_2_age_55plus",-0.103193011450618,0.375963145623167,-0.274476401881289,0.373052694550961,-0.276617788741159
"b_3_age_18_34",-0.448975930405321,0.241081081217179,-1.86234410489,0.246275981788796,-1.82306015854343
"b_3_age_55plus",-0.0139241731843191,0.211011131345968,-0.0659878609033634,0.208162638257102,-0.0668908373803435
"b_4_age_18_34",-0.0360511657656286,0.260938147351408,-0.138159813471344,0.263095699485185,-0.137026815094933
"b_4_age_55plus",0.238116117279617,0.24634620626675,0.966591371095761,0.25407229114533,0.937198291896436
"b_5_age_18_34",-0.151047372774122,0.391054684481324,-0.386256395251892,0.401390164563733,-0.376310597790292
"b_5_age_55plus",-0.154621002476482,0.361695700417156,-0.427489191323403,0.39338116500713,-0.393056445581678
"b_6_age_18_34",-0.408732409513003,0.493754683386541,-0.827804622954883,0.432123880932893,-0.945868598214496
"b_6_age_55plus",0.201762729483869,0.426436289707759,0.473136865584631,0.40198883348406,0.501911278816328
"b_2_gender_women",0.161864242314697,0.364878314092806,0.443611571482781,0.373026003397394,0.433922141728707
"b_3_gender_women",0.1913137751729,0.210850917057554,0.907341442203351,0.218934882419467,0.873838709750939
"b_4_gender_women",0.549328854655743,0.244689371726735,2.24500496600737,0.243094035712146,2.25973810112815
"b_5_gender_women",-0.17093599966397,0.359433213800285,-0.475570963119031,0.347865773085659,-0.491384933181909
"b_6_gender_women",0.249771109277882,0.459487521759864,0.543586272639665,0.457450631211401,0.546006699381852
"b_2_kids_kids",-0.0799517799064512,0.413844269646948,-0.193192912818772,0.408135224541837,-0.195895318754227
"b_3_kids_kids",-0.657298821501041,0.272153878333703,-2.41517345086331,0.262954081330223,-2.49967149464241
"b_4_kids_kids",-0.00553630432795864,0.296479574400189,-0.0186734763740781,0.290808749001196,-0.0190376126817831
"b_5_kids_kids",0.0373255440711927,0.410789027540638,0.0908630502977594,0.420550852542204,0.0887539374740583
"b_6_kids_kids",0.339073327926579,0.483002844685638,0.70201103711359,0.470583859725771,0.72053752146147
"b_2_genderkids_women_kids",-0.256169944444114,0.557486530761626,-0.45950875995899,0.571904738059095,-0.447924151342918
"b_3_genderkids_women_kids",0.362713067788393,0.349609401507452,1.03748087501205,0.343508479447154,1.05590717403002
"b_4_genderkids_women_kids",-0.218920274857112,0.381935525322237,-0.573186468245944,0.379797540311252,-0.576413092822304
"b_5_genderkids_women_kids",-0.165197108543798,0.568003307129364,-0.290838286450636,0.56332351067084,-0.29325441849049
"b_6_genderkids_women_kids",-0.393069594477531,0.66870515755849,-0.587807032792551,0.700551174664884,-0.561086197115521
"b_2_income_50minus",0.444686390953334,0.413872773701142,1.07445190698735,0.411940845256153,1.07949089310825
"b_3_income_50minus",0.523960329619594,0.277752209447888,1.88643082501887,0.272771484343678,1.92087648340627
"b_4_income_50minus",-0.639155433330721,0.437956091251531,-1.45940528308267,0.437433908869109,-1.46114743363888
"b_5_income_50minus",-0.568215752142055,0.511106503902028,-1.11173649289146,0.512923380579161,-1.10779850101678
"b_6_income_50minus",-0.791444272757612,0.693198976245181,-1.14172741143472,0.678058385936506,-1.16722142100566
"b_2_income_100_149",0.432006998171117,0.37357269223902,1.15642017509864,0.390536016505612,1.10618990288418
"b_3_income_100_149",0.637553182124395,0.234493902548104,2.71884759132962,0.236100323497804,2.7003486173975
"b_4_income_100_149",-0.00693564969569988,0.263634039690608,-0.0263078686797779,0.263570023847121,-0.0263142583305405
"b_5_income_100_149",0.186839586512165,0.369442965230338,0.505733236511014,0.362129579591803,0.515946768896296
"b_6_income_100_149",0.390447299398187,0.438663111591357,0.890084643729774,0.41794859606132,0.934199332352589
"b_2_income_150plus",0.0568184676638118,0.418955734308186,0.135619262396862,0.435451861587948,0.130481627651364
"b_3_income_150plus",0.766517377822547,0.233140538038505,3.28779106487242,0.23360714930379,3.28122396984411
"b_4_income_150plus",0.481573248742733,0.248421246537763,1.93853486951861,0.24358606325814,1.97701478607332
"b_5_income_150plus",0.206919686582419,0.377942088763632,0.547490456168348,0.397471472258677,0.52059003230238
"b_6_income_150plus",0.295115038627588,0.45877429541402,0.643268469000126,0.400561093959746,0.736754125844397
"b_2_education_highschool",0.336271670594348,0.371688710323371,0.904713167913521,0.343195763684614,0.979824654547223
"b_3_education_highschool",-0.344930501760471,0.23144190412974,-1.49035457972689,0.227965826786508,-1.51307986211241
"b_4_education_highschool",-0.92467227857139,0.313031481983058,-2.95392742197552,0.318142928158761,-2.90646812086282
"b_5_education_highschool",-0.459692335317282,0.381000730069421,-1.20653925055084,0.379114079007338,-1.21254356082193
"b_6_education_highschool",0.711867359468056,0.472848103798598,1.50548845125805,0.437719187573673,1.62631061117978
"b_2_education_graduate",-0.445498764741327,0.363162842722397,-1.22671901508896,0.356303593022163,-1.25033475234592
"b_3_education_graduate",-0.479660824696115,0.200481594184363,-2.39254294962868,0.204922545504204,-2.34069327762803
"b_4_education_graduate",-0.246716816881679,0.209852063024012,-1.1756701998848,0.210228190963661,-1.1735667597707
"b_5_education_graduate",-0.478611800666035,0.333461879894574,-1.43528190034001,0.335151163189162,-1.42804755953033
"b_6_education_graduate",0.395263588841492,0.420157361804775,0.940751310755684,0.437918647104638,0.902595930670762
"b_2_impedance_20_39",0.0159331837615374,0.34511463724608,0.0461678006145432,0.361661598863884,0.0440555032980819
"b_3_impedance_20_39",-1.04631160794793,0.227862168683674,-4.59186188735196,0.228663347030136,-4.57577316844764
"b_4_impedance_20_39",0.416760895553063,0.253749025029713,1.64241378071999,0.255873041031162,1.62878001478204
"b_5_impedance_20_39",-0.388382206020856,0.359737691697347,-1.07962611365063,0.353642627725933,-1.09823357132683
