"","gamma_prim","gamma_temp","gamma_home","delta_temp","delta_home","delta_temp_agk_18_29_woman","delta_home_agk_18_29_woman","delta_temp_agk_18_29","delta_home_agk_18_29","delta_temp_agk_30_44_woman_kids","delta_home_agk_30_44_woman_kids","delta_temp_agk_30_44_woman_nokids","delta_home_agk_30_44_woman_nokids","delta_temp_agk_30_44_kids","delta_home_agk_30_44_kids","delta_temp_agk_45_64_woman","delta_home_agk_45_64_woman","delta_temp_agk_45_64","delta_home_agk_45_64","delta_temp_agk_65plus_woman","delta_home_agk_65plus_woman","delta_temp_agk_65plus","delta_home_agk_65plus","delta_temp_income_50minus","delta_home_income_50minus","delta_temp_income_100_149","delta_home_income_100_149","delta_temp_income_150plus","delta_home_income_150plus","delta_temp_education_highschool","delta_home_education_highschool","delta_temp_education_graduate","delta_home_education_graduate","delta_temp_impneighbor_20_39","delta_home_impneighbor_20_39","delta_temp_impneighbor_40_59","delta_home_impneighbor_40_59","delta_temp_impneighbor_60plus","delta_home_impneighbor_60plus","delta_temp_impneighbor_20minus_suburban","delta_home_impneighbor_20minus_suburban","delta_temp_impneighbor_20_39_suburban","delta_home_impneighbor_20_39_suburban","delta_temp_impneighbor_40_59_suburban","delta_home_impneighbor_40_59_suburban","delta_temp_impneighbor_60plus_suburban","delta_home_impneighbor_60plus_suburban","delta_temp_impneighbor_20minus_town","delta_home_impneighbor_20minus_town","delta_temp_impneighbor_20_39_town","delta_home_impneighbor_20_39_town","delta_temp_impneighbor_40_59_town","delta_home_impneighbor_40_59_town","delta_temp_impneighbor_60plus_town","delta_home_impneighbor_60plus_town","delta_temp_jobtype12_professional","delta_home_jobtype12_professional","delta_temp_jobtype12_administrative","delta_home_jobtype12_administrative","delta_temp_homeownership_nonown","delta_home_homeownership_nonown","delta_temp_factor_score_1","delta_home_factor_score_1","delta_temp_factor_score_2","delta_home_factor_score_2","delta_temp_factor_score_3","delta_home_factor_score_3"
"gamma_prim",-0.123162423375827,-0.00879836420104367,0.0684763660554618,0.923827374144117,2.48537932306697,0.0658130067817694,0.210172175707845,0.102237947507284,0.270716478578071,0.137451808773616,0.28732904127697,0.0808897974561515,0.260061266555222,0.248347140894978,0.504340326769075,0.14494609159867,0.446489933630337,0.382049503090767,1.00096120929021,-2.24234763161633e-18,0.132355889208446,0.0185743035370653,0.204786901702665,0.0758913047766992,0.169878802274929,0.234919065902467,0.605272939147938,0.272907254486077,0.981733601624672,0.223414636773088,0.415696645895959,0.331738498014357,0.977150517093242,0.465210954882588,1.08715284712497,0.170388724030392,0.445157992940131,0.0681968320638043,0.32357264909643,0.100427933252581,0.334322277557338,0.147026603168808,0.477380025564828,0.0862508135068339,0.203131434204233,0.0299365350605189,0.172930285446362,0.0499440383304163,0.0529134706660543,0.0486121534018268,0.104547366916776,0.00893896335660574,0.0526347031137999,0.00264905072495555,0.0187943265031827,0.524294519589541,1.55485350075337,0.256130381669973,0.736525286550609,0.343814098552583,0.839983669971919,0.559642276698712,0.690363847098542,-0.348467404626023,-0.513195426826455,0.139587324556462,-0.027194921193448
"gamma_temp",-0.00879836420104367,-0.327174991731757,0.0113978873337341,-1.26842383544126,0.626021429878178,-0.0556883369530416,0.0198494273223855,-0.117619619130016,0.0450484582952923,-0.186689716539647,0.102179366421032,-0.0836578300275253,0.0447495923562702,-0.334385429550059,0.15622388326231,-0.177372367860257,0.110560106847131,-0.5768697084933,0.314519301709724,-7.84947090520741e-18,2.2620997413811e-10,-0.0157783645614638,0.00655156863960484,-0.0822004794167853,0.0397519688103213,-0.352942364379432,0.176557253329831,-0.262473625942055,0.142381465683166,-0.435127278622926,0.212260163206243,-0.41974844586984,0.2071455722664,-0.47679823551901,0.194093648683352,-0.162456705966382,0.0782053530597814,-0.275102162740263,0.188403828497526,-0.151670619491739,0.0745520563224083,-0.116625339646417,0.0501990185851052,-0.106966522506305,0.0497219579150377,-0.0920175732210645,0.0609147887265218,-0.148268003016593,0.0636391876469711,-0.030612990770532,0.0109285947511819,-0.000654601610677478,0.000219686716088059,-0.0431213087290968,0.0369806229498454,-0.684767255365335,0.365033202092866,-0.311686636484963,0.155190063597573,-0.511710845193518,0.247676114027949,-0.282863669368525,0.00637320228907776,-0.153226959213867,0.215195294368885,-0.144331817620127,-0.00798062745618192
"gamma_home",0.0684763660554618,0.0113978873337341,-2.47961476231361,5.23545645299951,-18.5013761605037,0.218658378922875,-1.04560455527694,0.337207996620777,-1.352694974404,0.669130369260113,-2.13096288033506,0.53684662689952,-2.2151387265544,1.06462386590318,-3.4454420501914,1.15677367969013,-3.82416189390279,2.61014480219305,-8.35305099663137,5.10733797971394e-17,-0.670656652787385,0.151525707581337,-1.21600557683831,0.324862598257666,-1.05175209143763,1.67749586671785,-5.3798659835275,1.81589316660295,-7.42441941977784,1.04411904224241,-3.04067835911367,1.89715003190955,-6.9351495878241,1.22059574721587,-5.13141222390513,0.69821396715181,-2.83505174815549,2.17520596305548,-6.17110796499162,0.668810838838222,-2.69432494191396,0.465184864922612,-2.34753264246255,0.359154638360787,-1.3236788841003,1.00336777811333,-3.04299794257216,0.2388763629467,-0.566540113920195,0.111420307878357,-0.429179777184015,0.0214076513031578,-0.180023956865299,0.348121724779062,-0.805443182591979,3.58418987591242,-12.4362362790937,1.28469280388925,-4.99315904130995,1.95236205640967,-6.31185792759008,-1.73696190332237,4.63362229711736,2.52784401900593,-6.10585372892341,-1.12782579040127,3.42830915843967
"delta_temp",0.923827374144117,-1.26842383544126,5.23545645299951,-148.766032319324,76.9794720652227,-8.56846566240257,3.86690392400922,-13.2281623079543,6.13710310414654,-20.5699696090548,10.3428325574565,-13.9840057987994,7.30935015848308,-34.9780564247516,16.9621057798258,-27.5710482840303,15.7091676945779,-66.7521664373886,36.5289989174541,2.09031425437954e-16,-1.61744876035967e-09,-4.15177538451002,2.16764372605026,-12.0342111571178,5.99376775955355,-42.5144123675514,23.7023094682479,-45.7386703713089,24.2828934256878,-36.2140403066634,18.0758289476028,-53.2260582769136,27.2971210475351,-52.1053348204143,22.0449045934714,-22.0346126391197,10.2948803626816,-37.8854284762166,25.6126648009374,-18.5761794245373,10.0974248175614,-17.2976232381956,7.56432574521795,-12.0170604688668,5.50716564385116,-17.6871950071765,11.8328182890988,-7.91821758251865,4.01235816166311,-4.93477930683396,1.97161012621599,-0.926963444033202,0.391360781742073,-4.95269252022304,3.76952027164417,-91.3283062692342,49.4987750595007,-39.6883676765816,19.8122209940591,-56.2640821997825,29.0576381407169,-16.662725876637,-5.99076523748841,-12.2018579233594,20.8465507943193,2.16621047608044,-7.16570033194948
"delta_home",2.48537932306697,0.626021429878178,-18.5013761605037,76.9794720652227,-273.273043667576,3.86690391433383,-17.3985792053907,6.13710336313132,-23.4218507073792,10.3428321382453,-33.851996619755,7.30935021134944,-29.4068842893024,16.9621080751971,-56.2441032269704,15.7091676096213,-53.3491221522218,36.5289989745705,-118.553787425291,1.46668888818593e-17,-9.35274082521578,2.16764394495789,-17.592833930314,5.99376804688562,-20.0519253096016,23.7023096139987,-75.6884447863703,24.2828934362701,-101.901803745031,18.0758289581405,-53.4349363726194,27.2971210049199,-101.040752914014,22.0449046360547,-89.9925801674051,10.2948807990158,-41.8119715212884,25.6126647558175,-72.2801115968051,10.0974248034059,-38.4962549737597,7.56432573528221,-37.5578970928368,5.50716565833925,-19.7423087919998,11.8328183283147,-36.2432845108068,4.01235819214708,-9.13290306342738,1.97161013176568,-8.09449773244851,0.391360813977729,-3.46867429188302,3.76952020224734,-8.58408570094187,49.4987750411574,-175.187962327226,19.8122209794201,-76.5073943018478,29.0576381608833,-95.5048313296057,-5.99076539370674,3.33578272714856,20.8465508286139,-30.6788354592424,-7.16570046059406,23.2249195073019
"delta_temp_agk_18_29_woman",0.0658130067817694,-0.0556883369530416,0.218658378922875,-8.56846566240257,3.86690391433383,-8.56846566212254,3.86690392381226,-8.56846566097288,3.8669039214937,-2.10548273957835e-13,2.16354747967786e-08,1.19562809490251e-11,-1.69090385993936e-08,3.58214072108733e-07,-4.53908703246236e-10,-1.53068789870709e-08,2.11593868243533e-11,9.89280477003338e-10,1.86439454460873e-08,-2.71891122516069e-18,-1.94511453289844e-15,-2.56620037256456e-09,9.68563942350487e-12,-3.60463426893522,1.38012790629612,-1.02934107632074,0.460632664617792,-0.229392866982399,0.107412797470362,-3.6871972359625,1.51584003870181,-1.14018889680447,0.387675181273306,-4.77338207033223,2.10045824445599,-1.39470035253118,0.504591416617014,-0.798161235453346,0.633575552421222,-0.729909161642158,0.284122157150892,-1.43880594749502,0.636753347373391,-0.294972094282071,0.067429033634994,-0.495862272444874,0.379244794462863,-0.30653712228569,0.109060282852808,-0.255940631396509,0.0629964696039352,4.01490264939957e-09,-6.94177789292128e-09,-0.175617379400079,0.159607501867841,-3.90562138511503,1.78667228963638,-3.0977120959871,1.48256221599193,-5.88599075674681,2.75603580696405,-4.55875871894353,1.64633605920224,0.932336828732893,-0.0890126264253689,-2.25512158876011,1.06893859794052
"delta_home_agk_18_29_woman",0.210172175707845,0.0198494273223855,-1.04560455527694,3.86690392400922,-17.3985792053907,3.86690392381226,-17.3985791532751,3.86690392450335,-17.3985791677627,-5.5844018794381e-08,9.59148383267353e-14,-1.0416501692257e-08,-1.7269117446481e-08,3.29555380263281e-08,8.56824899101662e-16,-1.57568685609216e-08,1.51874159812082e-09,1.09247929692906e-09,-2.91440818649379e-11,1.76031606108631e-17,3.84481966913332e-10,-3.56413267326357e-08,-8.46435205298029e-09,1.38012790656477,-6.12211571578935,0.460632658659173,-3.07231702882097,0.10741279165643,-0.701199627863977,1.51584004218568,-6.12905118849131,0.387674988130932,-2.76222298107137,2.10045823979457,-8.42247958791447,0.504591283242697,-2.5523732428864,0.633575549483111,-2.24092471750738,0.284122149289681,-1.78181140980933,0.636753369654807,-3.18949641489275,0.0674290630047578,-0.390550912551378,0.379244824970383,-1.1945986682334,0.109060276408962,-0.401737943665034,0.0629964704097205,-0.519737892394282,3.69386509713062e-10,-7.15662482456522e-09,0.159607496873566,-0.378095608200481,1.78667230160791,-8.81143983748497,1.48256221524683,-6.63499619422651,2.75603581171727,-11.9556263025522,1.64633591949838,-8.42329529989644,-0.0890126315153076,3.88299133850333,1.06893849171604,-4.63084630304191
"delta_temp_agk_18_29",0.102237947507284,-0.117619619130016,0.337207996620777,-13.2281623079543,6.13710336313132,-8.56846566097288,3.86690392450335,-13.2281624087032,6.13710310172601,-8.58075218256845e-13,8.23196296078553e-08,3.54338376617702e-08,6.26295637836319e-09,1.48474451342354e-06,-1.88138341296777e-09,8.1428250016171e-11,6.84202058527356e-08,-1.86586590710463e-13,8.42996560844802e-08,6.32153288187082e-19,-7.33720607112471e-14,1.20916919436817e-07,-2.81686815065569e-16,-4.38458359761093,1.5660304541937,-2.65832281033778,1.47275882021245,-0.741484794279174,0.452492662532656,-6.19451712248935,2.54073530219419,-1.6332615554846,0.46271440536976,-5.75339735814238,2.35575602118525,-2.00159080242417,0.647826912516266,-2.74460048638379,2.06658525804971,-1.26442911263071,0.580591820821268,-1.87580271243104,0.729989700029228,-0.2949720899296,0.0674290623425421,-0.941479340862018,0.692195059105131,-0.306537102909935,0.109060287102805,-0.255940598777325,0.0629964594769234,1.66411793485742e-08,-1.2498034417367e-16,-0.175617360535248,0.159607508210183,-6.8615383022406,3.35746361557541,-3.70177421407605,1.70219908553564,-8.11816854006329,3.60986585456023,-6.31839929817988,2.3362058986434,2.39019815960839,-0.31385983188581,-4.99002534827609,2.10102429202283
"delta_home_agk_18_29",0.270716478578071,0.0450484582952923,-1.352694974404,6.13710310414654,-23.4218507073792,3.8669039214937,-17.3985791677627,6.13710310172601,-23.421850731617,-5.65108301496301e-08,2.8933964434337e-11,1.24393321850572e-11,-1.91656272259396e-08,3.05754693507984e-08,-5.74992027934444e-09,-1.59264385971157e-08,1.71755484415772e-08,1.23707716491166e-08,-2.70496047160543e-11,-9.01192024759883e-18,-5.55927757501548e-12,1.19920149219795e-13,-7.85272401197818e-09,1.56603042501714,-6.69209185703092,1.47275884596241,-5.10290062686386,0.452492640580068,-1.65528423813854,2.54073502977348,-9.04464613963591,0.462714329683434,-3.43825675068283,2.35575598446981,-9.34656134662059,0.647826870816031,-2.96742166717257,2.06658525084665,-5.18846327321441,0.580591750606411,-2.76777548924861,0.729989692222301,-3.62377979264819,0.0674290718430859,-0.390550861191622,0.692194925345527,-2.10872537073197,0.109060278361638,-0.401737934240151,0.0629964733371118,-0.519737891047183,4.17207093451183e-09,-7.22272500513401e-09,0.159607498937969,-0.37809560584197,3.35746359384066,-12.9881257324651,1.70219897892861,-7.45384311159384,3.60986584118,-14.2557846206584,2.33620587910956,-10.3878520797533,-0.313859834154626,5.70135528530332,2.10102356188819,-8.58262395084463
"delta_temp_agk_30_44_woman_kids",0.137451808773616,-0.186689716539647,0.669130369260113,-20.5699696090548,10.3428321382453,-2.10548273957835e-13,-5.5844018794381e-08,-8.58075218256845e-13,-5.65108301496301e-08,-20.569969339574,10.3428325150475,8.33042879895107e-09,-1.84900941531035e-07,-20.569968272923,10.3428325301233,-1.53633408698167e-07,1.80255212436928e-07,-1.19027967566022e-07,-5.69326381763641e-10,6.56661804913178e-19,-4.56943779084925e-08,-1.32436850328114e-12,-8.25203727224775e-08,-1.13673813781475,0.672851336097097,-4.83660790212098,2.3647415361488,-7.53883493872737,3.84643757398573,-3.92755080852087,2.30695617547025,-7.55090364566136,3.99578194778936,-7.91963067936547,3.12891787778207,-2.00166678104817,0.721824961942192,-5.39518600043716,3.57331876547886,-2.24586256660771,1.29376000027682,-2.41677755434005,0.755383533746454,-1.13344090601399,0.450526143298228,-2.24292271081529,1.45464121872552,-0.474222415639513,0.231155021504955,-0.543464071895548,0.290273559785583,-0.125531546219139,0.0431982236760425,-1.30611098253404,1.01050707391952,-11.618683626175,6.18663220005589,-3.72541050093643,1.56689011132765,-5.67930623067622,2.98604361221961,-2.07130839166483,-1.39250760532493,-6.60209551633371,5.62931617345593,-1.52909137436584,-0.718176674353875
