"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_temp",-1.32506925889216,NA,NA,NA,NA
"asc_home",-1.8815131679207,NA,NA,NA,NA
"asc_prho",-1.8965357249678,NA,NA,NA,NA
"asc_tmho",-1.62685083113906,NA,NA,NA,NA
"asc_allm",-3.70950693808467,NA,NA,NA,NA
"b_temp_age_18_29",0.00147441108605976,NA,NA,NA,NA
"b_home_age_18_29",-0.497906923238454,NA,NA,NA,NA
"b_prho_age_18_29",0.412295582292285,NA,NA,NA,NA
"b_tmho_age_18_29",-0.260451161801349,NA,NA,NA,NA
"b_allm_age_18_29",0.223333727445715,NA,NA,NA,NA
"b_temp_age_45_64",0.171673819752432,NA,NA,NA,NA
"b_home_age_45_64",0.452042413811587,NA,NA,NA,NA
"b_prho_age_45_64",0.243080451282646,NA,NA,NA,NA
"b_tmho_age_45_64",0.478721284637884,NA,NA,NA,NA
"b_allm_age_45_64",0.600565262190204,NA,NA,NA,NA
"b_temp_age_65plus",-37.9890682614459,NA,NA,NA,NA
"b_home_age_65plus",-0.169809959261991,NA,NA,NA,NA
"b_prho_age_65plus",-0.0239971573045211,NA,NA,NA,NA
"b_tmho_age_65plus",-0.839151708168235,NA,NA,NA,NA
"b_allm_age_65plus",0.260588263890793,NA,NA,NA,NA
"b_temp_gender_women",0.0453174710479935,NA,NA,NA,NA
"b_home_gender_women",0.135683651939724,NA,NA,NA,NA
"b_prho_gender_women",0.450476184211758,NA,NA,NA,NA
"b_tmho_gender_women",-0.186696136765111,NA,NA,NA,NA
"b_allm_gender_women",0.068908165327707,NA,NA,NA,NA
"b_temp_kids_kids",-0.148311681496914,NA,NA,NA,NA
"b_home_kids_kids",-0.686582093064589,NA,NA,NA,NA
"b_prho_kids_kids",-0.0842662476093704,NA,NA,NA,NA
"b_tmho_kids_kids",-0.0645349593141389,NA,NA,NA,NA
"b_allm_kids_kids",0.524909269325686,NA,NA,NA,NA
"b_temp_genderkids_women_kids",-0.183637376232979,NA,NA,NA,NA
"b_home_genderkids_women_kids",0.434397192179677,NA,NA,NA,NA
"b_prho_genderkids_women_kids",-0.144366022442247,NA,NA,NA,NA
"b_tmho_genderkids_women_kids",-0.0280918008547064,NA,NA,NA,NA
"b_allm_genderkids_women_kids",-0.404295157361716,NA,NA,NA,NA
"b_temp_income_50minus",0.4787137334247,NA,NA,NA,NA
"b_home_income_50minus",0.575779739727092,NA,NA,NA,NA
"b_prho_income_50minus",-0.556826764978848,NA,NA,NA,NA
"b_tmho_income_50minus",-0.701784713175643,NA,NA,NA,NA
"b_allm_income_50minus",-0.828057616239715,NA,NA,NA,NA
"b_temp_income_100_149",0.410082016602264,NA,NA,NA,NA
"b_home_income_100_149",0.537040374325243,NA,NA,NA,NA
"b_prho_income_100_149",-0.01614299032497,NA,NA,NA,NA
"b_tmho_income_100_149",0.152864297306928,NA,NA,NA,NA
"b_allm_income_100_149",0.282271284687254,NA,NA,NA,NA
"b_temp_income_150plus",-0.026375652189173,NA,NA,NA,NA
"b_home_income_150plus",0.645831059325502,NA,NA,NA,NA
"b_prho_income_150plus",0.520473228296831,NA,NA,NA,NA
"b_tmho_income_150plus",0.117220752738341,NA,NA,NA,NA
"b_allm_income_150plus",0.198961548604566,NA,NA,NA,NA
"b_temp_education_highschool",0.253325094020958,NA,NA,NA,NA
"b_home_education_highschool",-0.390479614681404,NA,NA,NA,NA
"b_prho_education_highschool",-1.02556110868972,NA,NA,NA,NA
"b_tmho_education_highschool",-0.397743481653615,NA,NA,NA,NA
"b_allm_education_highschool",0.708452987186504,NA,NA,NA,NA
"b_temp_education_graduate",-0.352452755141696,NA,NA,NA,NA
"b_home_education_graduate",-0.385869162220776,NA,NA,NA,NA
"b_prho_education_graduate",-0.182268468833716,NA,NA,NA,NA
"b_tmho_education_graduate",-0.555621877150399,NA,NA,NA,NA
"b_allm_education_graduate",0.369251174252358,NA,NA,NA,NA
"b_temp_impedance_20_39",-0.0114527071987258,NA,NA,NA,NA
"b_home_impedance_20_39",-0.990515367536942,NA,NA,NA,NA
"b_prho_impedance_20_39",0.553826215900042,NA,NA,NA,NA
"b_tmho_impedance_20_39",-0.304522359180812,NA,NA,NA,NA
"b_allm_impedance_20_39",0.501129908746198,NA,NA,NA,NA
"b_temp_impedance_40_59",0.235082036086989,NA,NA,NA,NA
"b_home_impedance_40_59",-0.589803724053638,NA,NA,NA,NA
"b_prho_impedance_40_59",0.949745076576194,NA,NA,NA,NA
"b_tmho_impedance_40_59",-0.348015726863986,NA,NA,NA,NA
"b_allm_impedance_40_59",0.442009807898421,NA,NA,NA,NA
"b_temp_impedance_60plus",0.718054491206892,NA,NA,NA,NA
"b_home_impedance_60plus",1.86615468235085,NA,NA,NA,NA
"b_prho_impedance_60plus",1.44480656409411,NA,NA,NA,NA
"b_tmho_impedance_60plus",1.04655495785638,NA,NA,NA,NA
"b_allm_impedance_60plus",1.15961795734062,NA,NA,NA,NA
"b_temp_neighborhood_suburban",-0.446276792103247,NA,NA,NA,NA
"b_home_neighborhood_suburban",0.212161111661564,NA,NA,NA,NA
"b_prho_neighborhood_suburban",0.17068981105651,NA,NA,NA,NA
"b_tmho_neighborhood_suburban",0.105269408201409,NA,NA,NA,NA
"b_allm_neighborhood_suburban",-0.321871658129961,NA,NA,NA,NA
"b_temp_neighborhood_town",-0.186230059522807,NA,NA,NA,NA
"b_home_neighborhood_town",0.209264932101348,NA,NA,NA,NA
"b_prho_neighborhood_town",-0.420636717765879,NA,NA,NA,NA
"b_tmho_neighborhood_town",0.239360826544114,NA,NA,NA,NA
"b_allm_neighborhood_town",-0.423884234921635,NA,NA,NA,NA
"b_temp_jobtype12_professional",-0.296148661198664,NA,NA,NA,NA
"b_home_jobtype12_professional",1.44014530130225,NA,NA,NA,NA
"b_prho_jobtype12_professional",0.600359654951509,NA,NA,NA,NA
"b_tmho_jobtype12_professional",-0.200341083561045,NA,NA,NA,NA
"b_allm_jobtype12_professional",0.355997078543101,NA,NA,NA,NA
"b_temp_jobtype12_administrative",-0.902586700589182,NA,NA,NA,NA
"b_home_jobtype12_administrative",1.19593371528153,NA,NA,NA,NA
"b_prho_jobtype12_administrative",0.364883697428832,NA,NA,NA,NA
"b_tmho_jobtype12_administrative",-0.204506407436643,NA,NA,NA,NA
"b_allm_jobtype12_administrative",0.0284640952967214,NA,NA,NA,NA
"b_temp_homeownership_nonown",-0.0960627013704796,NA,NA,NA,NA
"b_home_homeownership_nonown",0.0939655887691714,NA,NA,NA,NA
"b_prho_homeownership_nonown",-0.352799151165133,NA,NA,NA,NA
"b_tmho_homeownership_nonown",0.294910478074747,NA,NA,NA,NA
"b_allm_homeownership_nonown",0.267150347757675,NA,NA,NA,NA
